Name,Total Time,Total Time (CPU),Hits
       org.apache.tomcat.util.threads.TaskQueue.take (),"75,908 ms (-0%)",0.0 ms (0%),2
        java.util.concurrent.LinkedBlockingQueue.take (),"75,908 ms (-0%)",0.0 ms (0%),2
        Self time,0.0 ms (0%),0.0 ms (0%),2
       Self time,0.0 ms (0%),0.0 ms (0%),2
      Self time,0.0 ms (0%),0.0 ms (0%),2
     org.apache.tomcat.util.net.SocketProcessorBase.run (),89.9 ms (-0%),89.9 ms (-0%),1
      org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun (),89.9 ms (-0%),89.9 ms (-0%),1
       org.apache.coyote.AbstractProtocol$ConnectionHandler.process (),89.9 ms (-0%),89.9 ms (-0%),1
        org.apache.coyote.AbstractProcessorLight.process (),89.9 ms (-0%),89.9 ms (-0%),1
         org.apache.coyote.http11.Http11Processor.service (),89.9 ms (-0%),89.9 ms (-0%),1
          org.apache.catalina.connector.CoyoteAdapter.service (),89.9 ms (-0%),89.9 ms (-0%),1
           org.apache.catalina.core.StandardEngineValve.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
            org.apache.catalina.valves.ErrorReportValve.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
             org.apache.catalina.core.StandardHostValve.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
              org.apache.catalina.authenticator.AuthenticatorBase.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
               org.apache.catalina.core.StandardContextValve.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                org.apache.catalina.core.StandardWrapperValve.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                 org.apache.catalina.core.ApplicationFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                  org.apache.catalina.core.ApplicationFilterChain.internalDoFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                   org.springframework.web.filter.OncePerRequestFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                    org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal (),89.9 ms (-0%),89.9 ms (-0%),1
                     org.apache.catalina.core.ApplicationFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                      org.apache.catalina.core.ApplicationFilterChain.internalDoFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                       org.springframework.web.filter.OncePerRequestFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                        org.springframework.web.filter.FormContentFilter.doFilterInternal (),89.9 ms (-0%),89.9 ms (-0%),1
                         org.apache.catalina.core.ApplicationFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                          org.apache.catalina.core.ApplicationFilterChain.internalDoFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                           org.springframework.web.filter.OncePerRequestFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                            org.springframework.web.filter.RequestContextFilter.doFilterInternal (),89.9 ms (-0%),89.9 ms (-0%),1
                             org.apache.catalina.core.ApplicationFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                              org.apache.catalina.core.ApplicationFilterChain.internalDoFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                               org.springframework.web.filter.DelegatingFilterProxy.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                org.springframework.web.filter.DelegatingFilterProxy.invokeDelegate (),89.9 ms (-0%),89.9 ms (-0%),1
                                 org.springframework.security.web.FilterChainProxy.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                  org.springframework.security.web.FilterChainProxy.doFilterInternal (),89.9 ms (-0%),89.9 ms (-0%),1
                                   org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                    org.springframework.web.filter.OncePerRequestFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                     org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter.doFilterInternal (),89.9 ms (-0%),89.9 ms (-0%),1
                                      org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                       org.springframework.security.web.context.SecurityContextPersistenceFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                        org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                         org.springframework.web.filter.OncePerRequestFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                          org.springframework.security.web.header.HeaderWriterFilter.doFilterInternal (),89.9 ms (-0%),89.9 ms (-0%),1
                                           org.springframework.security.web.header.HeaderWriterFilter.doHeadersAfter (),89.9 ms (-0%),89.9 ms (-0%),1
                                            org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                             org.springframework.security.web.authentication.logout.LogoutFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                              org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                               org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                 org.springframework.security.web.savedrequest.RequestCacheAwareFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                  org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                   org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                    org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                     org.springframework.security.web.authentication.AnonymousAuthenticationFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                      org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                       org.springframework.security.web.session.SessionManagementFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                        org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                         org.springframework.security.web.access.ExceptionTranslationFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                          org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                           org.springframework.security.web.access.intercept.FilterSecurityInterceptor.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                            org.springframework.security.web.access.intercept.FilterSecurityInterceptor.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                             org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                              org.apache.catalina.core.ApplicationFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                               org.apache.catalina.core.ApplicationFilterChain.internalDoFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                org.apache.tomcat.websocket.server.WsFilter.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                 org.apache.catalina.core.ApplicationFilterChain.doFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                  org.apache.catalina.core.ApplicationFilterChain.internalDoFilter (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                   javax.servlet.http.HttpServlet.service (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                    org.springframework.web.servlet.FrameworkServlet.service (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                     javax.servlet.http.HttpServlet.service (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                      org.springframework.web.servlet.FrameworkServlet.doGet (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                       org.springframework.web.servlet.FrameworkServlet.processRequest (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                        org.springframework.web.servlet.DispatcherServlet.doService (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                         org.springframework.web.servlet.DispatcherServlet.doDispatch (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                          org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                           org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                            org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                             org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                              org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                               org.springframework.web.method.support.InvocableHandlerMethod.doInvoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                java.lang.reflect.Method.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                 jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                  jdk.internal.reflect.GeneratedMethodAccessor121.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                   com.example.vvs.webapp.controller.ProductController.viewProducts (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                    com.example.vvs.webapp.service.ProductServiceImplementation.getAllTheProducts (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                     com.sun.proxy.$Proxy69.findAll (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                      org.springframework.aop.framework.JdkDynamicAopProxy.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                       org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                        java.lang.reflect.Method.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                         jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                          jdk.internal.reflect.GeneratedMethodAccessor122.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                           com.sun.proxy.$Proxy99.findAll (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                            org.springframework.aop.framework.JdkDynamicAopProxy.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                             org.springframework.aop.framework.ReflectiveMethodInvocation.proceed (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                              org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                               org.springframework.aop.framework.ReflectiveMethodInvocation.proceed (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                org.springframework.data.jpa.repository.support.CrudMethodMetadataPostProcessor$CrudMethodMetadataPopulatingMethodInterceptor.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                 org.springframework.aop.framework.ReflectiveMethodInvocation.proceed (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                  org.springframework.dao.support.PersistenceExceptionTranslationInterceptor.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                   org.springframework.aop.framework.ReflectiveMethodInvocation.proceed (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                    org.springframework.transaction.interceptor.TransactionInterceptor.invoke (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                     org.springframework.transaction.interceptor.TransactionAspectSupport.invokeWithinTransaction (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                      org.springframework.transaction.interceptor.TransactionAspectSupport.commitTransactionAfterReturning (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                       org.springframework.transaction.support.AbstractPlatformTransactionManager.commit (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                        org.springframework.transaction.support.AbstractPlatformTransactionManager.processCommit (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                         org.springframework.transaction.support.AbstractPlatformTransactionManager.cleanupAfterCompletion (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                          org.springframework.orm.jpa.JpaTransactionManager.doCleanupAfterCompletion (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                           org.springframework.orm.jpa.vendor.HibernateJpaDialect.cleanupTransaction (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                            org.springframework.orm.jpa.vendor.HibernateJpaDialect$SessionTransactionData.resetSessionState (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                             org.springframework.jdbc.datasource.DataSourceUtils.resetConnectionAfterTransaction (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                              com.zaxxer.hikari.pool.HikariProxyConnection.setReadOnly (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                               com.zaxxer.hikari.pool.ProxyConnection.setReadOnly (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                                com.mysql.cj.jdbc.ConnectionImpl.setReadOnly (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                                 com.mysql.cj.jdbc.ConnectionImpl.setReadOnlyInternal (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                                  com.mysql.cj.NativeSession.execSQL (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                                   com.mysql.cj.protocol.a.NativeProtocol.sendQueryString (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                                    com.mysql.cj.protocol.a.NativeProtocol.sendQueryPacket (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                                     com.mysql.cj.protocol.a.NativeProtocol.sendCommand (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                                      com.mysql.cj.protocol.a.NativeProtocol.send (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                                       com.mysql.cj.protocol.a.TimeTrackingPacketSender.send (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                                        com.mysql.cj.protocol.a.SimplePacketSender.send (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                                         java.io.BufferedOutputStream.flush (),89.9 ms (-0%),89.9 ms (-0%),1
                                                                                                                         Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                                        Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                                       Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                                      Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                                     Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                                  Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                                Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                               Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                              Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                             Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                            Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                           Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                          Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                         Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                        Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                       Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                      Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                     Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                  Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                                Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                               Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                              Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                             Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                            Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                           Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                          Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                         Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                        Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                       Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                      Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                     Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                  Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                                Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                               Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                              Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                             Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                            Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                           Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                          Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                         Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                        Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                       Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                      Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                     Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                  Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                                                Self time,0.0 ms (0%),0.0 ms (0%),1
                                                               Self time,0.0 ms (0%),0.0 ms (0%),1
                                                              Self time,0.0 ms (0%),0.0 ms (0%),1
                                                             Self time,0.0 ms (0%),0.0 ms (0%),1
                                                            Self time,0.0 ms (0%),0.0 ms (0%),1
                                                           Self time,0.0 ms (0%),0.0 ms (0%),1
                                                          Self time,0.0 ms (0%),0.0 ms (0%),1
                                                         Self time,0.0 ms (0%),0.0 ms (0%),1
                                                        Self time,0.0 ms (0%),0.0 ms (0%),1
                                                       Self time,0.0 ms (0%),0.0 ms (0%),1
                                                      Self time,0.0 ms (0%),0.0 ms (0%),1
                                                     Self time,0.0 ms (0%),0.0 ms (0%),1
                                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                                  Self time,0.0 ms (0%),0.0 ms (0%),1
                                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                                Self time,0.0 ms (0%),0.0 ms (0%),1
                                               Self time,0.0 ms (0%),0.0 ms (0%),1
                                              Self time,0.0 ms (0%),0.0 ms (0%),1
                                             Self time,0.0 ms (0%),0.0 ms (0%),1
                                            Self time,0.0 ms (0%),0.0 ms (0%),1
                                           Self time,0.0 ms (0%),0.0 ms (0%),1
                                          Self time,0.0 ms (0%),0.0 ms (0%),1
                                         Self time,0.0 ms (0%),0.0 ms (0%),1
                                        Self time,0.0 ms (0%),0.0 ms (0%),1
                                       Self time,0.0 ms (0%),0.0 ms (0%),1
                                      Self time,0.0 ms (0%),0.0 ms (0%),1
                                     Self time,0.0 ms (0%),0.0 ms (0%),1
                                    Self time,0.0 ms (0%),0.0 ms (0%),1
                                   Self time,0.0 ms (0%),0.0 ms (0%),1
                                  Self time,0.0 ms (0%),0.0 ms (0%),1
                                 Self time,0.0 ms (0%),0.0 ms (0%),1
                                Self time,0.0 ms (0%),0.0 ms (0%),1
                               Self time,0.0 ms (0%),0.0 ms (0%),1
                              Self time,0.0 ms (0%),0.0 ms (0%),1
                             Self time,0.0 ms (0%),0.0 ms (0%),1
                            Self time,0.0 ms (0%),0.0 ms (0%),1
                           Self time,0.0 ms (0%),0.0 ms (0%),1
                          Self time,0.0 ms (0%),0.0 ms (0%),1
                         Self time,0.0 ms (0%),0.0 ms (0%),1
                        Self time,0.0 ms (0%),0.0 ms (0%),1
                       Self time,0.0 ms (0%),0.0 ms (0%),1
                      Self time,0.0 ms (0%),0.0 ms (0%),1
                     Self time,0.0 ms (0%),0.0 ms (0%),1
                    Self time,0.0 ms (0%),0.0 ms (0%),1
                   Self time,0.0 ms (0%),0.0 ms (0%),1
                  Self time,0.0 ms (0%),0.0 ms (0%),1
                 Self time,0.0 ms (0%),0.0 ms (0%),1
                Self time,0.0 ms (0%),0.0 ms (0%),1
               Self time,0.0 ms (0%),0.0 ms (0%),1
              Self time,0.0 ms (0%),0.0 ms (0%),1
             Self time,0.0 ms (0%),0.0 ms (0%),1
            Self time,0.0 ms (0%),0.0 ms (0%),1
           Self time,0.0 ms (0%),0.0 ms (0%),1
          Self time,0.0 ms (0%),0.0 ms (0%),1
         Self time,0.0 ms (0%),0.0 ms (0%),1
        Self time,0.0 ms (0%),0.0 ms (0%),1
       Self time,0.0 ms (0%),0.0 ms (0%),1
      Self time,0.0 ms (0%),0.0 ms (0%),1
     Self time,0.0 ms (0%),0.0 ms (0%),1
    Self time,0.0 ms (0%),0.0 ms (0%),1
   Self time,0.0 ms (0%),0.0 ms (0%),1
  Self time,0.0 ms (0%),0.0 ms (0%),1
